subject,jp,kana,meaning,hits,exams,own_hits,own_exams,stem,stem_hits,stem_exams
tekisei,漏らし,もらし,"(lậu) làm lộ, rò rỉ",12,11,12,11,,0,0
tekisei,当該,とうがい,"(Đương cai) nói trên, liên quan, tương ứng (từ chỉ định)",117,27,72,15,,0,0
tekisei,文部科学省,もんぶかがくしょう,"Bộ Giáo dục, Văn hóa, Thể thao, Khoa học và Công nghệ Nhật Bản",18,9,18,9,,0,0
tekisei,分科会,ぶんかかい,"(phân khoa hội) Tiểu ban, hội đồng chuyên môn",3,3,3,3,,0,0
tekisei,統合,とうごう,"(thống hợp) Sự kết hợp, thống nhất, sát nhập",11,9,8,6,,0,0
tekisei,伴い,ともない,"(Bạn) Đồng hành, đệm, Do vì",25,20,11,7,,0,0
tekisei,履行,りこう,"(Lý hành)Sự thực hiện, thi hành",20,8,20,8,,0,0
tekisei,活躍,かつやく,"(Hoạt dược) thành công, hoạt động nỗ lực",5,4,5,4,,0,0
tekisei,知見,ちけん,"(tri kiến) Sự hiểu biết, tri thức",20,11,18,9,,0,0
tekisei,研さん,けんさん,(nghiên) nghiên cứu theo dạng rèn luyện bản thân,3,3,3,3,,0,0
tekisei,造り込まれる,つくりこまれる,"Được chế tạo, sản xuất trong",0,0,0,0,造り込,1,1
tekisei,怪我,けが,(quái ngã) Vết thương,5,2,5,2,,0,0
tekisei,造成,ぞうせい,"(Tạo thành) San lấp, cải tạo đất tạo mặt bằng (vd: 宅地造成)",8,7,3,3,,0,0
tekisei,宅地,たくち,"(trạch địa) Khu nhà, lô đất thổ cư",15,11,3,3,,0,0
tekisei,養鶏場,ようけいじょう,(Dưỡng kê tràng) trang trại gà,1,1,1,1,,0,0
tekisei,出荷,しゅっか,"(xuất hà) sự đưa hàng, giao hàng, xuất hàng",9,3,7,2,,0,0
tekisei,暴走,ぼうそう,"(Bạo tẩu) Mất khả năng kiểm soát, chạy ẩu",2,2,2,2,,0,0
tekisei,周波数,しゅうはすう,(Chu ba số) Tần số Hz,6,4,2,2,,0,0
tekisei,需要家,じゅようか,"(Nhu yếu gia) khách hàng, người có nhu cầu",1,1,1,1,,0,0
tekisei,湾内,わんない,(loan nội) bên trong vịnh,10,5,2,2,,0,0
tekisei,養殖,ようしょく,"(dưỡng thực) Nuôi trồng thủy sản,",4,2,4,2,,0,0
tekisei,鯛,たい,Cá tráp,1,1,1,1,,0,0
tekisei,進展,しんてん,(tiến triển) sự tiến triển,27,15,13,8,,0,0
tekisei,鑑みる,かんがみる,"(Giám) xem xét, chú ý để quyết định",1,1,1,1,,0,0
tekisei,施策,しさく,"(Thi sách) Chính sách, đối sách",21,12,13,6,,0,0
tekisei,創出,そうしゅつ,"(Sáng xuất) Sự tạo ra, sáng tạo ra",12,7,7,5,,0,0
tekisei,資する,しする,"(Tư) Giúp đỡ, viện trợ, đóng góp",21,14,16,9,,0,0
tekisei,指紋,しもん,"(Chỉ văn) Dấu tay, vân tay",4,3,3,2,,0,0
tekisei,顔認識,かおにんしき,(Nhan nhận thức) Nhận diện khuôn mặt,1,1,1,1,,0,0
tekisei,符号,ふごう,"(phù hiệu) ký hiệu, mã (trong mã hóa thông tin)",42,9,9,2,,0,0
tekisei,旅券,りょけん,(lữ khoán) Hộ chiếu,2,2,2,2,,0,0
tekisei,割り当て,わりあて,"(cát đương) gán tải trọng, vật liệu, phân công phân bổ",2,2,1,1,割り当,1,1
tekisei,識別,しきべつ,(thức biệt) Sự phân biệt để nhận diện,14,8,11,5,,0,0
tekisei,塩基,えんき,(diêm cơ) Bazo,42,16,2,2,,0,0
tekisei,部位,ぶい,"(bộ vị) Bộ phận, vị trí (trên cơ thể hoặc vật thể, kết cấu)",4,4,2,2,,0,0
tekisei,容貌,ようぼう,(dung mạo) hình dạng khuôn mặt,2,2,2,2,,0,0
tekisei,虹彩,こうさい,"(hồng thái) tròng đen, mống mắt",3,3,2,2,,0,0
tekisei,起伏,きふく,"(khởi phục) thăng trầm cuộc đời, địa hình nhấp nhô",2,2,2,2,,0,0
tekisei,声帯,せいたい,(Thanh đới) Dây thanh quản,2,2,2,2,,0,0
tekisei,振動,しんどう,(Chấn động) Sự rung động,112,27,6,3,,0,0
tekisei,声門,せいもん,(Thanh môn) Khoảng trống giữa các dây thanh quản,2,2,2,2,,0,0
tekisei,声道,せいどう,"(thanh đạo) đường dẫn âm (vocal tract): khoang từ thanh môn đến môi, mũi",2,2,2,2,,0,0
tekisei,歩幅,ほはば,"(bộ phúc) 1 khoảng của bước chân, sải bước chân",2,2,2,2,,0,0
tekisei,皮下,ひか,(bì hạ) nội bì dưới da,1,1,1,1,,0,0
tekisei,分岐,ぶんき,"(phân kì) Sự chia nhánh, phân nhánh",6,5,1,1,,0,0
tekisei,端点,たんてん,"(đoan điểm) nút cuối, điểm mút",2,2,1,1,,0,0
tekisei,掌紋,しょうもん,(chưởng văn) đường chỉ tay,2,2,2,2,,0,0
tekisei,模倣,もほう,"(mô phỏng) sự bắt chước, sao chép",9,9,9,9,,0,0
tekisei,特許庁,とっきょちょう,(Đặc hứa sảnh) Nơi cấp bằng sáng chế,12,9,12,9,,0,0
tekisei,出願,しゅつがん,(xuất nguyện) nộp đơn xin,12,7,11,6,,0,0
tekisei,節目,ふしめ,"(tiết mục) Bước ngoặt, dấu mốc quan trọng",3,3,3,3,,0,0
tekisei,未然,みぜん,"(vị nhiên) 未然に防ぐ phòng ngừa, ngăn chặn",10,7,9,6,,0,0
tekisei,着目,ちゃくもく,"(trứ mục) quan tâm, chú ý đến",16,11,5,3,,0,0
tekisei,顕在,けんざい,"(hiển tại) cụ thể hóa, biểu hiện rõ ràng",5,3,5,3,,0,0
tekisei,不祥事,ふしょうじ,(bất tường sự) việc lỗi của ai đó gây mất danh dự cho cá nhân tập thể,10,5,10,5,,0,0
tekisei,発覚,はっかく,"(phát giác) sự phát hiện, phát giác",7,4,7,4,,0,0
tekisei,不明瞭,ふめいりょう,"(bất minh liệu) Sự không rõ ràng, mập mờ",1,1,1,1,,0,0
tekisei,忖度,そんたく,"(thốn độ) đoán, dò ý của người khác",0,0,0,0,,0,0
tekisei,天井,てんじょう,(thiên tỉnh) trần nhà,6,4,6,4,,0,0
tekisei,所管,しょかん,(sở quản) thuộc thẩm quyền,8,6,6,4,,0,0
tekisei,頻度,ひんど,"(Tần độ) tần suất, số lần xảy ra",9,7,2,2,,0,0
tekisei,一律,いちりつ,"( nhất luật) đồng đều, không phân biệt",7,6,2,2,,0,0
tekisei,諸元,しょげん,(chư nguyên) Thông số kỹ thuật,6,6,2,2,,0,0
tekisei,微,び,"(vi) 1 chút, nhỏ",87,29,7,5,,0,0
tekisei,漏洩,ろうえい,"(lậu duệ) sự tiết lộ, rò rỉ",20,7,20,7,,0,0
tekisei,複数人,ふくすうにん,"(phức số nhân) số đông, nhiều người",4,2,4,2,,0,0
tekisei,避ける,さける,"(tị) phòng, tránh, giữ khoảng cách",13,11,6,6,,0,0
tekisei,媒体,ばいたい,(môi thể) media phương tiện,10,8,5,3,,0,0
tekisei,背後,はいご,"(bối hậu)Phía sau lưng, background",18,11,3,3,,0,0
tekisei,書棚,しょだな,(thư bằng) kệ sách,2,2,2,2,,0,0
tekisei,死角,しかく,"(tử giác)Góc chết, điểm mù",2,2,2,2,,0,0
tekisei,閲覧,えつらん,"(Duyệt lãm) Đọc, duyệt web, xem",3,2,2,1,,0,0
tekisei,予見,よけん,"(Dự kiến) Dự đoán, dự kiến",18,10,14,6,,0,0
tekisei,特権,とっけん,(Đặc quyền) Đặc quyền,3,2,3,2,,0,0
tekisei,専有,せんゆう,"(Chuyên hữu) độc chiếm, sở hữu riêng",3,1,3,1,,0,0
tekisei,厳重,げんじゅう,"(nghiêm trọng) nghiêm ngặt, cẩn mật",1,1,1,1,,0,0
tekisei,措置,そち,(Thố trí) biện pháp,65,23,45,12,,0,0
tekisei,講ずる,こうずる,"(Giảng) Đưa ra, xây dựng, giải quyết vấn đề",6,5,5,4,,0,0
tekisei,疾病,しっぺい,(tật bệnh) bệnh tật,6,2,6,2,,0,0
tekisei,軽微,けいび,"(khinh vi) Nhẹ, không quan trọng",5,4,3,2,,0,0
tekisei,付加,ふか,"(phó gia) phụ thêm, thêm vào",31,16,12,7,,0,0
tekisei,雇用,こよう,"(Cố dụng) Tuyển dụng, thuê mướn",29,11,27,9,,0,0
tekisei,均等,きんとう,"(Quân đẳng) cân đối, cân bằng",6,3,5,2,,0,0
tekisei,介護,かいご,"(Giới hộ) Chăm sóc bệnh nhân, điều dưỡng",7,5,7,5,,0,0
tekisei,産前,さんぜん,"(sản tiền) tiền sản, trước khi sinh đẻ",2,1,2,1,,0,0
tekisei,遭遇,そうぐう,"(Tao ngộ) Cuộc chạm trán, sự bắt gặp bất thình lình",2,2,2,2,,0,0
tekisei,鍛える,きたえる,"(Đoán) Dạy dỗ, rèn luyện",0,0,0,0,,0,0
tekisei,意向,いこう,"(Ý hướng) chí hướng, dự định, ý muốn",5,4,5,4,,0,0
tekisei,包摂,ほうせつ,(Bao nhiếp) Bao trùm,5,3,5,3,,0,0
tekisei,参画,さんかく,(Tham hoạch) Tham gia vào kế hoạch dự án,2,2,2,2,,0,0
tekisei,年限,ねんげん,"(Niên hạn) Thời hạn quy định (tính bằng năm), niên hạn",3,2,3,2,,0,0
tekisei,登録,とうろく,(Đăng lục) sự đăng ký,89,18,69,15,,0,0
tekisei,責務,せきむ,"(trách vụ) nhiệm vụ, bổn phận",83,18,80,16,,0,0
tekisei,相反,そうはん,"(tương phản) Sự bất đồng, mâu thuẫn",16,8,15,7,,0,0
tekisei,啓発,けいはつ,"(khải phát) Sự mở mang tri thức, bồi dưỡng kiến thức",3,3,3,3,,0,0
tekisei,研鑽,けんさん,"(nghiên toàn) nghiên cứu, trau dồi",7,3,7,3,,0,0
tekisei,倫理綱領,りんりこうりょう,(Luân lý cương lĩnh) Bộ quy tắc đạo đức,20,10,20,10,,0,0
tekisei,抵触,ていしょく,"(để xúc) va chạm, vi phạm luật",2,1,2,1,,0,0
tekisei,察知,さっち,"(sát tri) cảm thấy, phát hiện ra",4,4,4,4,,0,0
tekisei,醸成,じょうせい,"(nhưỡng thành) đào tạo, bồi dưỡng, lên men rượu",2,2,2,2,,0,0
tekisei,幾多の苦難,いくたのくなん,(ki đa no khổ nan) nhiều hoạn nạn,1,1,1,1,,0,0
tekisei,獲得,かくとく,"(hoạch đắc) sự thu được, nhận được, thu nhận",5,4,4,3,,0,0
tekisei,擁護,ようご,"(ủng hộ) bênh vực, ủng hộ",3,3,3,3,,0,0
tekisei,見解,けんかい,"(kiến giải) cách nghĩ, quan điểm",13,4,13,4,,0,0
tekisei,創作者,そうさくしゃ,"(sáng tác giả) nhà văn, người sáng tác",6,6,6,6,,0,0
tekisei,元来,がんらい,"(nguyên lai) từ trước tới nay, vốn dĩ",5,5,5,5,,0,0
tekisei,意匠,いしょう,kiểu dáng công nghiệp; ý tưởng thiết kế,25,12,24,11,,0,0
tekisei,半導体集積回路,はんどうたいしゅうせきかいろ,(bán dẫn tập tích hồi lộ) mạch tích hợp bán dẫn (IC),4,4,4,4,,0,0
tekisei,商標,しょうひょう,"nhãn hiệu, thương hiệu",22,13,20,11,,0,0
tekisei,商号,しょうごう,(thương hiệu) tên thương mại,10,6,8,4,,0,0
tekisei,甚大,じんだい,"(thậm đại) sự khổng lồ, nghiêm trọng",6,5,5,4,,0,0
tekisei,刊行物,かんこうぶつ,"Tạp chí, sách báo xuất bản",9,5,8,4,,0,0
tekisei,中途,ちゅうと,"(trung đồ) giữa chừng, đang dang dở",1,1,1,1,,0,0
tekisei,取引先,とりひきさき,Khách hàng,11,8,11,8,,0,0
tekisei,脱税,だつぜい,(thoát thuế) Trốn thuế,4,2,4,2,,0,0
tekisei,垂れ流し,たれながし,"Ỉa đùn, đái dầm, xả rác bừa bãi",6,3,6,3,垂れ流,6,3
tekisei,懲戒処分,ちょうかいしょぶん,"(trừng giới xử phân) biện pháp trừng phạt, xử lý kỷ luật",2,2,2,2,,0,0
tekisei,解雇,かいこ,"(giải cố) sự cho nghỉ việc, sa thải",9,6,9,6,,0,0
tekisei,期日内,きじつない,"(kì nhật nội) trong kì hạn, trong ngày đã định",1,1,1,1,,0,0
tekisei,誤使用,ごしよう,(ngộ sử dụng) sử dụng sai,5,5,5,5,,0,0
tekisei,引渡し,ひきわたし,(dẫn độ) bàn giao,5,5,3,3,引渡,3,3
tekisei,故意,こい,"cố ý, cố tình",12,8,11,7,,0,0
tekisei,救済,きゅうさい,"(cứu tế) viện trợ, trợ giúp mặt kinh tế",4,4,4,4,,0,0
tekisei,不具合,ふぐあい,"(bất cụ hợp) những lỗi, hỏng hóc",20,13,14,10,,0,0
tekisei,消安法,しょうあんほう,Luật an toàn tiêu dùng,10,2,10,2,,0,0
tekisei,後遺障害,こういしょうがい,Khuyết tật sót lại,2,2,2,2,,0,0
tekisei,重症病,じゅうしょうびょう,Ốm nặng,0,0,0,0,,0,0
tekisei,内閣総理大臣,ないかくそうりだいじん,(nội các tổng lý đại thần) thủ tướng,4,4,3,3,,0,0
tekisei,消費者庁,しょうひしゃちょう,(tiêu phí giả thính) cơ quan người tiêu dùng,18,9,18,9,,0,0
tekisei,萎縮,いしゅく,"Trở nên rụt rè, sợ hãi",3,2,3,2,,0,0
tekisei,利便,りべん,(lợi tiện) tiện lợi,8,7,2,2,,0,0
tekisei,重篤度,じゅうとくど,(trọng đốc độ) mức độ nghiêm trọng,2,2,2,2,,0,0
tekisei,芽,め,"(nha) búp, mầm chồi",2,2,2,2,,0,0
tekisei,摘み取る,つみとる,"(trích thủ) ngắt hái, tiêu diệt mầm mống, làm lụi tàn đi tài năng",1,1,1,1,摘み取,1,1
tekisei,局所排気装置,きょくしょはいきそうち,Thiết bị hút khí thải cục bộ,1,1,1,1,,0,0
tekisei,到来,とうらい,"(đáo lai) sự đến, sự tới",1,1,1,1,,0,0
tekisei,次世代,じせだい,(thứ thế đại) Thế hệ tương lai,3,2,2,1,,0,0
tekisei,進捗,しんちょく,(tiến trắc) tiến triển,7,7,3,3,,0,0
tekisei,負荷,ふか,(phụ hà) phụ tải,41,18,8,6,,0,0
tekisei,概念,がいねん,(khái niệm) Khái niệm,22,16,11,8,,0,0
tekisei,濃縮,のうしゅく,"(nùng súc) cô đặc,",6,2,6,2,,0,0
tekisei,蓄積,ちくせき,"(súc tích) tích lũy, tích tụ",12,10,9,7,,0,0
tekisei,刑事裁判,けいじさいばん,(hình sự tài phán) phiên tòa hình sự,3,1,3,1,,0,0
tekisei,脱線事故,だっせんじこ,(thoát tuyến sự cố) tai nạn trật bánh (tàu),1,1,1,1,,0,0
tekisei,挟まれ,はさまれ,"bị kẹp, bị kẹt (giữa hai vật)",3,2,3,2,,0,0
tekisei,開示,かいじ,"tiết lộ, thông báo",19,15,12,11,,0,0
tekisei,低脂肪乳,ていしぼうにゅう,(đê chi phương nhũ) sữa ít béo,2,2,2,2,,0,0
tekisei,生乳,せいにゅう,(sinh nhũ) sữa tươi nguyên liệu,1,1,1,1,,0,0
tekisei,黄色,きいろ,(hoàng sắc) màu vàng,1,1,0,0,,0,0
tekisei,笹子トンネル,ささごトンネル,hầm Sasago (nơi xảy ra sự cố sập trần năm 2012),4,4,4,4,,0,0
tekisei,天井板,てんじょういた,(thiên tỉnh bản) tấm trần,4,3,4,3,,0,0
tekisei,崩落,ほうらく,"(băng lạc) sụp đổ, sạt lở",2,2,2,2,,0,0
tekisei,見抜けなかった,みぬけなかった,đã không nhìn thấu / không phát hiện ra được,1,1,1,1,見抜,1,1
tekisei,不起訴処分,ふきそしょぶん,(bất khởi tố xử phân) quyết định không truy tố,1,1,1,1,,0,0
tekisei,繋がって,つながって,"nối liền, dẫn đến, liên quan tới",2,2,2,2,,0,0
tekisei,鼓舞,こぶ,"(cổ vũ) cổ vũ, khích lệ",1,1,1,1,,0,0
tekisei,許認可,きょにんか,(hứa nhận khả) cấp phép và phê duyệt,2,2,1,1,,0,0
tekisei,相手方,あいてがた,"phía đối phương, bên kia (trong hợp đồng, giao dịch)",2,2,2,2,,0,0
tekisei,贈与,ぞうよ,"(tặng dữ) biếu tặng, tặng cho",1,1,1,1,,0,0
tekisei,接待,せったい,"(tiếp đãi) chiêu đãi, tiếp khách",1,1,1,1,,0,0
tekisei,割り勘,わりかん,chia đều tiền (mỗi người tự trả phần mình),1,1,1,1,,0,0
tekisei,人事院,じんじいん,(nhân sự viện) Viện Nhân sự (cơ quan quản lý công chức Nhật),2,1,2,1,,0,0
tekisei,狭義,きょうぎ,(hiệp nghĩa) nghĩa hẹp,9,4,8,3,,0,0
tekisei,服務規律,ふくむきりつ,(phục vụ quy luật) kỷ luật công vụ,1,1,1,1,,0,0
tekisei,広義,こうぎ,(quảng nghĩa) nghĩa rộng,6,1,6,1,,0,0
tekisei,知人,ちじん,(tri nhân) người quen,2,1,2,1,,0,0
tekisei,志向,しこう,"(chí hướng) định hướng, thiên hướng",8,3,8,3,,0,0
tekisei,懸念,けねん,lo lắng,21,10,18,7,,0,0
tekisei,納めて,おさめて,"nộp (tiền, thuế); giao nộp",2,1,2,1,,0,0
tekisei,尊厳,そんげん,tôn nghiêm,8,7,8,7,,0,0
tekisei,就業環境,しゅうぎょうかんきょう,(tựu nghiệp hoàn cảnh) môi trường làm việc,3,2,3,2,,0,0
tekisei,阻害,そがい,"(trở hại) cản trở, gây trở ngại",22,15,15,8,,0,0
tekisei,叱責,しっせき,"(sất trách) quở trách, khiển trách",3,3,3,3,,0,0
tekisei,妊婦,にんぷ,(nhâm phụ) phụ nữ mang thai,6,3,5,2,,0,0
tekisei,性愛,せいあい,"(tính ái) tình dục, ái tình",2,2,2,2,,0,0
tekisei,自認,じにん,"(tự nhận) tự thừa nhận, tự công nhận",2,2,2,2,,0,0
tekisei,過労死,かろうし,(quá lao tử) chết do làm việc quá sức,1,1,1,1,,0,0
tekisei,講ず,こうず,"(giảng) thi hành, áp dụng (biện pháp)",9,7,8,6,,0,0
tekisei,月間,げっかん,"(nguyệt gian) trong tháng, hàng tháng",5,4,1,1,,0,0
tekisei,違和感,いわかん,"(vi hòa cảm) cảm giác không ổn, cảm giác lạc lõng",4,1,4,1,,0,0
tekisei,昨今,さっこん,"(tạc kim) gần đây, dạo này",2,2,2,2,,0,0
tekisei,虚偽,きょぎ,"(hư ngụy) giả dối, gian dối",2,2,2,2,,0,0
tekisei,後を絶たない,あとをたたない,"không ngớt, liên tiếp xảy ra",0,0,0,0,後を絶,1,1
tekisei,則り,のっとり,"(tắc) tuân theo, chiểu theo (則る)",2,1,2,1,,0,0
tekisei,悪意,あくい,"(ác ý) ác ý, cố ý xấu",2,2,2,2,,0,0
tekisei,巧妙,こうみょう,"(xảo diệu) khéo léo, tinh vi",1,1,1,1,,0,0
tekisei,抜き打ち,ぬきうち,"đột xuất, bất ngờ (kiểm tra)",1,1,1,1,抜き打,1,1
tekisei,抑止力,よくしりょく,khả năng ngăn chặn,3,3,3,3,,0,0
tekisei,因果関係,いんがかんけい,quan hệ nhân quả,11,7,9,6,,0,0
tekisei,迅速,じんそく,"(tấn tốc) nhanh chóng, mau lẹ",10,8,9,7,,0,0
tekisei,湯沸器,ゆわかしき,(thang phí khí) máy đun nước nóng,3,2,3,2,,0,0
tekisei,透明性,とうめいせい,(thấu minh tính) tính minh bạch,13,7,13,7,,0,0
tekisei,規範,きはん,"(quy phạm) quy phạm, chuẩn mực",68,15,64,13,,0,0
tekisei,改訂,かいてい,"(cải đính) sửa đổi, hiệu đính (văn bản, tiêu chuẩn)",15,8,14,7,,0,0
